Ras Elased Australis,9.764188,23.774255,2.97,47908
Nash,18.096803,-30.424091,2.98,88635
,13.315359,-23.171512,2.99,64962
,17.793078,-40.126997,2.99,87073
,19.090169,13.863478,2.99,93747
,2.159058,34.987297,3,10064
,11.161062,44.498487,3,54539
,15.345483,71.834016,3,75097
,16.864509,-38.04738,3,82514
,21.898808,-37.364852,3,108085
,3.715416,47.787551,3.01,17358
,6.338553,-30.063367,3.02,30122
,7.050409,-23.833291,3.02,33977
,12.168746,-22.619766,3.02,59316
,5.032815,43.823308,3.03,23416
,12.771346,-68.108119,3.04,62322
,14.534636,38.308253,3.04,71075
Albireo,19.512023,27.959681,3.05,95947
,20.350187,-14.781367,3.05,100345
,6.732202,25.131124,3.06,32246
,10.372155,41.499516,3.06,50801
,19.209225,67.661541,3.07,94376
,18.293793,-36.761686,3.1,89642
,8.92323,5.945563,3.11,43813
,10.827079,-16.193648,3.11,52943
,11.596363,-63.019841,3.11,56561
,20.626116,-47.291502,3.11,101772
,5.849329,-35.768309,3.12,27628
,8.986828,48.041826,3.12,44127
,16.977006,-55.990141,3.12,83081
,17.250531,24.839204,3.12,84379
,14.986025,-42.104194,3.13,73334
,9.350925,34.392562,3.14,45860
,9.520371,-57.034377,3.16,46701
,17.250788,36.809162,3.16,84380
,6.629353,-43.195934,3.17,31685
,9.547715,51.6773,3.17,46853
,17.146448,65.714683,3.17,83895
,18.76094,-26.990778,3.17,92041
,5.10858,41.234474,3.18,23767
,14.708492,-64.975138,3.18,71908
,4.830669,6.961276,3.19,22449
,5.091018,-22.371032,3.19,23685
,16.961139,9.375033,3.19,83000
,17.830965,-37.043304,3.19,87261
,21.215607,30.226916,3.21,104732
,23.65582,77.632276,3.21,116727
,15.356201,-40.647518,3.22,75141
,16.305358,-4.692511,3.23,79882
,18.355167,-2.898825,3.23,89962
,21.477662,70.560716,3.23,106032
,6.803194,-61.941391,3.24,32607
,20.188413,-0.821461,3.24,99473
,7.487179,-43.301432,3.25,36377
,14.106193,-26.682361,3.25,68895
,15.067839,-25.281965,3.25,73714
,18.982395,32.689557,3.25,93194
,3.787295,-74.238962,3.26,17678
,0.655462,30.861024,3.27,3092
,17.366827,-24.999545,3.27,84970
,22.910837,-15.82082,3.27,113136
,5.215528,-16.205468,3.29,24305
,10.228961,-70.037903,3.29,50099
,15.415494,58.966065,3.29,75458
,4.566598,-55.044975,3.3,21281
,10.533743,-61.685332,3.3,51576
,6.247961,22.506799,3.31,29655
,17.423239,-56.377727,3.31,85267
,1.101407,-46.718414,3.32,5165
,3.08627,38.840274,3.32,14354
Megrez,12.257086,57.032617,3.32,59774
,17.202552,-43.239189,3.32,84143
,17.983775,-9.773632,3.32,88048
,19.11567,-27.670423,3.32,93864
,4.240404,-62.473858,3.33,19780
,11.237335,15.42957,3.33,54879
,7.821571,-24.859786,3.34,38170
,1.906584,63.670101,3.35,8886
,5.407949,-2.397146,3.35,25281
,6.754824,12.895591,3.35,32362
,8.504431,60.718169,3.35,41704
,19.424972,3.114775,3.36,95501
,15.378021,-44.689622,3.37,75264
,8.779587,6.418809,3.38,43109
,13.57822,-0.59582,3.38,66249
,5.585633,9.934158,3.39,26207
,10.28472,-61.332304,3.39,50371
,12.926725,3.39747,3.39,63090
,22.180908,58.201261,3.39,109492
,4.477705,15.870883,3.4,20894
,17.172783,-15.726921,3.4,
,1.472759,-43.318234,3.41,6867
,4.011338,12.490347,3.41,18724
,13.825078,-41.687709,3.41,67464
,15.20476,-52.099247,3.41,74395
,20.754811,61.838782,3.41,102422
,22.691033,10.831364,3.41,112029
,1.884696,29.578829,3.42,8796
,16.002036,-38.396706,3.42,78384
,17.774319,27.720676,3.42,86974
,20.749314,-66.203212,3.42,102395
,9.182804,-58.966896,3.43,45080
,10.278171,23.417311,3.43,50335
,19.10415,-4.882554,3.43,93805
,10.284952,42.914365,3.45,50372
,0.81826,57.815187,3.46,3821
,1.143164,-10.182264,3.46,5364
,7.946313,-52.98236,3.46,38827
,15.258376,33.314833,3.46,74666
,2.721678,3.235818,3.47,12706
,13.826943,-42.473732,3.47,67472
,10.122209,16.762664,3.48,49583
,16.714933,38.922254,3.48,81833
